comentario,red_social,filial,comunidad,sentimiento,eje_tematico
"#AFINIA Afinia lidera acciones para fortalecer el servicio de energía en el sur de Bolívar · Al encuentro asistieron los alcaldes de Santa Rosa del Sur y Simití · La actualización de censo en barrios espaciales entre los compromisos. · Optimización de circuitos para estabilidad del servicio. · Trabajo conjunto para reducción de pérdidas y aumento del recaudo. Territorio Caribe, abril 7 de 2025 | Con el propósito de seguir optimizando la calidad del servicio de energía en Santa Rosa del Sur y Simití, Afinia, filial del Grupo EPM lideró un encuentro clave con los alcaldes de estos municipios y líderes comunitarios, en el que se definieron estrategias y compromisos para garantizar un suministro más estable y eficiente en la región. En el encuentro participó el gerente general de Afinia, Ricardo Arango y el jefe territorial de Bolívar Sur, Edilberto Agámez, además de una comisión de las áreas Comercial, Pérdidas, Distribución y Proyectos. La reunión, celebrada el pasado viernes 4 de abril, permitió analizar de manera detallada las condiciones del sistema eléctrico, en especial las interrupciones presentadas en la línea 582, que alimenta la línea 449 de ESSA. Gracias al diálogo abierto con las autoridades locales, se lograron acuerdos fundamentales que contribuirán a mejorar la prestación del servicio. Entre los compromisos para la mejora del servicio se destacan: Intervención en la línea 582 para mejorar la estabilidad del suministro eléctrico. Instalación de un banco de reguladores en julio, con el objetivo de optimizar los niveles de tensión. Instalación de medidores prepagos en barrios subnormales, en articulación con las alcaldías. Actualización de censos poblacionales y técnicos en barrios subnormales, para una planificación más eficiente. Ejecución de mesas de trabajo social el 8 de abril, orientadas a reducir pérdidas y fortalecer el recaudo. Identificación de personas no autorizadas que realizan cobros indebidos en barrios subnormales de Simití. Investigación de presuntos cobros irregulares en el barrio El Bosque. Gestión ante el gobierno nacional para escalar los acuerdos y lograr soluciones estructurales. Análisis del sistema de alumbrado público en Simití, en respuesta a los reportes de fallas en luminarias. Trabajo conjunto con ESSA para socializar con la comunidad las causas de las fallas en el servicio. Elaboración de un documento dirigido al gobierno nacional, solicitando mayor respaldo en cobertura y calidad. Comunicación constante con la comunidad, garantizando información clara y oportuna sobre los avances. La empresa reconoce de Santa Rosa del Sur su optimo comportamiento de pago, un factor clave para la sostenibilidad del sistema eléctrico y el cual debe continuar fortaleciéndose. Este encuentro reafirma la disposición de Afinia para seguir con mejoras en la infraestructura eléctrica en el sur de Bolívar y su compromiso con la calidad de vida los usuarios de quienes también necesitamos cada vez más corresponsabilidad. La compañía continuará implementando soluciones innovadoras y trabajando de la mano con las autoridades del ámbito local, departamental y nacional, para garantizar un servicio confiable, sostenible y de progreso para las regiones del Caribe.",Facebook,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Energía"
"#ATENCION🔴 Afinia suspenderá energía en Cicuco, Mompox y #Magangué este 30 de abril y recuerda “racionamiento” Miles de usuarios de Magangué, Cicuco y Mompox se verán afectados este miércoles 30 de abril de 2025 por una suspensión del servicio de energía eléctrica que irá desde las 6:20 a. m. hasta las 5:00 p. m. La interrupción fue anunciada por Afinia, filial del Grupo EPM, como parte de un plan de robustecimiento de la infraestructura eléctrica en Bolívar. Durante esta jornada se ejecutarán trabajos de cambio de apoyos y armado en mal estado en los circuitos Santa Isabel y Mompox 4, lo que obligará a cortar el suministro en zonas urbanas y rurales de los tres municipios, incluyendo corregimientos y sectores como Yatí, Santa Fe, Puerto Kennedy, Tacaloa, San Francisco, Punta Cartagena, Caño Hondo, San Ignacio, Santa Cruz, Santa Rosa y La Travesía, entre otros. Cabe recordar que, en un comunicado de prensa, Afinia advirtió desde marzo que, de acuerdo con el Decreto 111 de 2012 del Ministerio de Minas y Energía, los Periodos de Continuidad Concertada (PCC) están permitidos en algunas zonas de Bolívar. Estos mecanismos son firmados con los alcaldes y representantes comunitarios, quienes se convierten en suscriptores del convenio y asumen la responsabilidad de velar por el cumplimiento de los compromisos adquiridos. ""Para que una empresa de servicios públicos pueda ejecutar medidas de racionamiento eléctrico bajo la figura de Periodos de Continuidad, debe existir un acuerdo formal entre el Suscriptor Comunitario y la compañía prestadora, con el aval explícito de la autoridad local o alcalde municipal"", precisó Afinia en su comunicado. Afinia recordó a los usuarios que pueden reportar novedades o emergencias relacionadas con el servicio a través de la línea 115, la aplicación móvil Afiniapp, el portal web www.afinia.com.co o mediante su canal de WhatsApp destinado a trabajos programados en Bolívar.",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Infraestructura"
"#CIUDAD | Afinia, la filial del Grupo EPM, anunció la suspensión del servicio de energía para usuarios de estratos 4, 5 y 6 en Cartagena debido a la alta morosidad en el pago de facturas. Más de 2.000 usuarios de estos estratos tienen deudas pendientes que superan los 3 años sin pago. La deuda total acumulada asciende a $17.825.069.859. En el barrio Manga, algunos usuarios tienen mora superior a los 9 años, mientras que en el Centro Histórico hay 355 clientes con facturas pendientes desde hace más de 2 años. Afinia iniciará cortes de luz en sectores residenciales a partir del 14 de abril, que podrían extenderse durante la Semana Santa. La empresa ofrece planes de financiación flexibles para facilitar el pago y evitar interrupciones del servicio. ✍: Samanta Amaranto #Energía #Morosidad #Afinia #Colectiva101.6FM",Instagram,Afinia,Test,Positivo,"Cortes De Energía, Deudas, Energía"
"#noticiasvital17años | Los estudiantes del colegio INEM de Cartagena ahora lideran el cuidado del primer vivero bioclimático de la ciudad, entregado por Afinia como parte de su compromiso ambiental. Más de 40.000 plantas crecerán en este espacio sostenible, fruto del trabajo conjunto con la comunidad educativa y el EPA, para reverdecer Cartagena y enseñar desde la niñez el valor de cuidar el planeta. En el evento estuvieron presentes Ricardo José Arango Restrepo (Gerente de Afinia), Arides Sandoval (Rector colegio INEM) María Auxiliadora Banda (Miembro Cidea en Bolívar y Cartagena) Mauricio Rodríguez (Director EPA Cartagena). Este proyecto es parte de las medidas de compensación ambiental por la construcción de la línea 620 y el cable submarino hacia la zona insular. Afinia seguirá brindando asistencia técnica durante el primer ciclo productivo. afiniaepm afiniagrupoepm #noticiasvital #Cartagena2025 #GuardianesAmbientales #ViveroBioclimático #AfiniaSostenible #CartagenaVerde #EducaciónAmbiental #TransiciónEnergética #CompensaciónAmbiental #GrupoEPM #SembrandoFuturo #CartagenaSostenible",Instagram,Afinia,Test,Neutro,Cortes De Energía
"#publicidad 🔌🚛 Energía que se adapta al territorio: CHEC Grupo EPM presenta su nueva subestación móvil En CHEC seguimos innovando para garantizar el servicio de energía en todo momento y lugar. Por eso, presentamos nuestra nueva subestación móvil, un proyecto pensado para suministrar energía de forma temporal a los municipios del territorio mientras se realizan mantenimientos o reparaciones en subestaciones fijas. Diseñada para acceder a zonas de difícil ingreso, esta solución móvil nos permite llegar donde más se necesita, asegurando la continuidad del servicio y respondiendo con agilidad ante cualquier contingencia. 💡 Porque la energía también se mueve contigo, y en CHEC trabajamos para que nunca te falte. #CHEC #EnergíaParaElTerritorio #SubestaciónMóvil #InnovaciónQueTransforma #LaVidaNosMueve #GrupoEPM",Instagram,CHEC,Test,Neutro,"Cortes De Energía, Energía, Servicio"
"#Región La empresa Centrales Eléctricas de Norte de Santander (CENS), filial del Grupo EPM, rechazó a través de un comunicado, el hurto de vehículos utilizados para labores técnicas y operativas esenciales. La compañía reportó que estos hechos afectan tanto a sus unidades como a las de empresas contratistas, especialmente en zonas de Norte de Santander y Morales, sur de Bolívar. Según CENS, los vehículos robados son clave para garantizar el mantenimiento de las redes eléctricas, la atención de emergencias, la expansión del sistema eléctrico y el control de pérdidas de energía. Por lo tanto, cada hurto representa un riesgo directo para la continuidad y calidad del servicio prestado a los usuarios en su área de influencia. 🔴 Más noticias y más información en 𝘄𝘄𝘄.𝗹𝗮𝗼𝗽𝗶𝗻𝗶𝗼𝗻.𝗰𝗼 📲 💻",Instagram,CENS,Test,Neutro,"Cortes De Energía, Energía, Pérdidas"
"#Regional Con el objetivo de asegurar la continuidad del fluido eléctrico durante la Semana Santa, Afinia, filial del Grupo EPM, activó el plan de contingencia en los sitios turísticos y lugares de alta concentración de personas en Bolívar, Cesar, Córdoba, Sucre y 11 municipios del Magdalena. Más de 800 personas, entre técnicos, operativos y personal administrativo, estarán disponibles para atender cualquier eventualidad que se registre en la red de distribución local y regional.  Las brigadas estarán distribuidas estratégicamente, priorizando las zonas con mayor flujo turístico, y contarán con el respaldo de herramientas y tecnología para agilizar la respuesta ante posibles daños o interrupciones imprevistas. ACCIONES PREVENTIVAS Afinia adelantó durante las últimas semanas una serie de labores técnicas enfocadas en reducir las averías no programadas y fortalecer la red de distribución. Entre estas acciones se destacan: Poda y despeje de vegetación en 52 circuitos, Intervención prioritaria en 20 circuitos estratégicos,  inspección termográfica en 51 circuitos para la identificación de puntos críticos y el mantenimiento preventivo en subestaciones, balanceo de cargas de circuitos y renovación de infraestructura en mal estado. Estas tareas se han ejecutado como parte de una estrategia preventiva, diseñada para mejorar la confiabilidad del sistema y reducir el impacto de eventos externos como condiciones climáticas o sobrecargas por alta demanda. Durante los días santos, Afinia no realizará trabajos programados sobre la red de distribución para evitar interrupciones en el servicio.",Instagram,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Estrategia"
"#SyBNoticias #Santander | ESSA Grupo EPM informa sobre afectación del servicio de energía en municipios del sur de Santander La Electrificadora de Santander informa que, hacia las 6:21 p. m. de este domingo 6 de abril, se presentó una falla en la subestación eléctrica ubicada en el municipio de Suaita, generando la interrupción del servicio de energía en varios municipios del sur del departamento.",Instagram,ESSA,Test,Neutro,"Cortes De Energía, Energía, Servicio"
| ¿Te preocupa que tu deuda con el servicio de energía siga creciendo? 📈 Tenemos opciones para ayudarte a ponerte al día. Acércate a una de nuestras oficinas o ingresa a www.afinia.com.co y realiza tu acuerdo de pago de forma fácil y segura con Alix 🤖. No esperes más ¡Evita que tu deuda siga aumentando! Afinia Grupo EPM,Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Servicio"
"🎬✨ ¡La innovación llega a Dosquebradas! Este martes 7 de mayo, te esperamos en el Centro de Relacionamiento CHEC Dosquebradas para que vivas una experiencia diferente en el marco de nuestra Semana de la Innovación. 👓 Explora el mundo con nuestra experiencia de realidad virtual 🧠 Participa en retos interactivos 🤖 Conoce herramientas tecnológicas aplicadas al servicio 🙋‍♀️ Y conversa en vivo con Lucy, nuestra asesora virtual 📍 Estaremos desde las 10:00 a.m. hasta las 4:00 p.m. ¡Ven, participa y sé parte de las ideas que nos mueven! #SemanaDeLaInnovación #CHECInnova #LucyTeConecta #InnovaciónQueTransforma #LaVidaNosMueve #GrupoEPM",Instagram,CHEC,Test,Neutro,"Cortes De Energía, Retos Financieros, Servicio"
"🎬✨ ¡La innovación llega a Dosquebradas! Este martes 7 de mayo, te esperamos en el Centro de Relacionamiento CHEC Dosquebradas para que vivas una experiencia diferente en el marco de nuestra Semana de la Innovación. 👓 Explora el mundo con nuestra experiencia de realidad virtual 🧠 Participa en retos interactivos 🤖 Conoce herramientas tecnológicas aplicadas al servicio 🙋‍♀️ Y conversa en vivo con Lucy, nuestra asesora virtual 📍 Estaremos desde las 10:00 a.m. hasta las 4:00 p.m. ¡Ven, participa y sé parte de las ideas que nos mueven! #SemanaDeLaInnovación #CHECInnova #LucyTeConecta #InnovaciónQueTransforma #LaVidaNosMueve #GrupoEPM #fronterainformativa #jaimeosorioperiodista #publicidad checgrupoepm fronterainformativa",Instagram,CHEC,Test,Neutro,"Cortes De Energía, Retos Financieros, Servicio"
"📊 Transparencia que construye confianza | Descubre los avances en sostenibilidad, gestión responsable y compromiso con la región 🔍 Escanea el QR y conoce el Informe de Sostenibilidad y Rendición de Cuentas de checgrupoepm 💡 . #CHECtransparente #CompromisoConLaRegión #SostenibilidadCHEC #RendiciónDeCuentas #GrupoEPM",Instagram,CHEC,Test,Neutro,"Cortes De Energía, Gestión, Gestión Pública"
"📍 Estaremos desde las 10:00 a.m. hasta las 4:00 p.m. ¡Ven, participa y sé parte de las ideas que nos mueven! #SemanaDeLaInnovación #CHECInnova #LucyTeConecta #InnovaciónQueTransforma #LaVidaNosMueve #GrupoEPM",Twitter,CHEC,Test,Neutro,Cortes De Energía
"📢#TengaEnCuenta Afinia reprograma corte de energía de este 30 de abril que afectaba a #Magangué, Cicuco y Mompox La empresa Afinia, filial del Grupo EPM, informó que la suspensión de energía eléctrica inicialmente programada para este miércoles 30 de abril de 2025 en los municipios de Magangué, Cicuco y Mompox ha sido reprogramada. Sin embargo, la compañía no precisó cuándo se llevará a cabo el corte ni cuándo se retomarán los trabajos de mantenimiento. El corte de energía estaba previsto entre las 6:20 a. m. y las 5:00 p. m., como parte de un plan de robustecimiento de la infraestructura eléctrica en Bolívar, que incluía el cambio de apoyos y armados en mal estado en los circuitos Santa Isabel y Mompox 4. La suspensión iba a afectar las zonas urbanas y rurales de los tres municipios, incluyendo corregimientos y sectores como Yatí, Santa Fe, Puerto Kennedy, Tacaloa, San Francisco, Punta Cartagena, Caño Hondo, San Ignacio, Santa Cruz, Santa Rosa y La Travesía, entre otros. Aunque la compañía no explicó los motivos de la reprogramación, señaló que informará oportunamente la nueva fecha en que se ejecutarán las obras de mantenimiento. Finalmente, Afinia reiteró a los usuarios que pueden reportar emergencias o novedades relacionadas con el servicio a través de sus canales oficiales: línea 115, aplicación Afiniapp, página web www.afinia.com.co o el WhatsApp habilitado para trabajos programados en Bolívar.",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Infraestructura"
"🚨#Atención | La ciudadanía en #Chinú, asegura que viene sufriendo de constantes apagones, muchos sin previo aviso por parte de Afinia Grupo EPM. En las últimas horas han padecido el no contar con el servicio de energía. #ElMeridianoTeUbica",Facebook,Afinia,Test,Neutro,"Cortes De Energía, Energía, Servicio"
AFINIA | ¿Te preocupa que tu deuda con el servicio de energía siga creciendo? 📈 Tenemos opciones para ayudarte a ponerte al día. Acércate a una de nuestras oficinas o ingresa a www.afinia.com.co y realiza tu acuerdo de pago de forma fácil y segura con Alix 🤖. No esperes más ¡Evita que tu deuda siga aumentando! Afinia Grupo EPM,Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Servicio"
"Afinia intensifica gestión de cartera en la zona norte de Cartagena • Durante la Semana Santa se intensificarán las acciones de suspensión a los morosos de energía en la zona norte del Corralito de Piedra. Afinia, filial del Grupo EPM, continúa fortaleciendo sus acciones de gestión comercial en la zona norte de Cartagena, con el fin de recuperar la cartera vencida y garantizar la sostenibilidad del servicio de energía. Cabe resaltar que en esta zona residen más de dos mil clientes de los estratos 4, 5 y 6, donde se registra una alta morosidad, con deudas acumuladas que en algunos casos superan los tres años sin pago. La situación más crítica se presenta en el barrio Manga, donde se han identificado usuarios con una mora superior a los nueve años. De igual manera, en el Centro Histórico se cuenta un total de 355 clientes que no han cancelado facturas de energía en más de dos años. Ante esta realidad, Afinia intensificará el proceso de suspensión a los usuarios que mantienen saldos pendientes y no han atendido los llamados a normalizar su situación, medida que se aplicará a partir del lunes 14 de abril y podrá extenderse durante toda la Semana Santa, incluyendo los días 15, 16 y 19 de abril. Actualmente, la deuda total de estos clientes asciende a $17.825.069.859, y teniendo en cuenta que la ciudad experimentará un aumento en sus ingresos durante esta temporada, y que la compañía cuenta con planes de financiación flexibles, se invita a los usuarios a acercarse, evitando así la suspensión del servicio durante los días santos. La compañía hace un llamado a estos clientes para que se acerquen a los canales de atención presenciales o virtuales antes del inicio de la Semana Mayor, y así evitar la suspensión del servicio. Afinia reitera su disposición para ofrecer opciones de acuerdo de pago y facilitar la normalización de la deuda. Con estas acciones, Afinia ratifica su compromiso con la prestación de un servicio de calidad y la equidad en el acceso a la energía para todos los usuarios que cumplen puntualmente con sus obligaciones.",Instagram,Afinia,Test,Positivo,"Acciones, Cortes De Energía, Deudas"
"Afinia realizará jornada comercial en Magangué con grandes soluciones de financiación para sus clientes • Se aplicará un 50% de descuento en sanciones por energía dejada de facturar a quienes realicen el pago de contado. • La jornada se llevará a cabo en las instalaciones de la empresa, ubicadas en el barrio San Mateo, donde los usuarios podrán acceder a facilidades de pago y normalizar su deuda. Magangué, 23 de abril de 2025 | Afinia, filial del Grupo EPM, liderará una nueva jornada comercial el próximo martes 29 de abril en la oficina de Magangué, con el compromiso de contribuir al bienestar de sus clientes en la ciudad y aportar al desarrollo económico de la región Caribe. La jornada se desarrollará desde las 7:00 a.m. a 3:00 p.m., con la presencia de personal comercial dispuesto a brindar alternativas de pago para todos. Recuerda que, si registras una irregularidad, puedes obtener un 50% de descuento en tu factura por energía consumida dejada de facturar, pagando de contado. Aprovecha también la oportunidad de financiar tu deuda presentando únicamente tu cédula, sin importar si eres propietario o arrendatario (solo para deudas de hasta $4.270.500. Aplican términos y condiciones). Afinia recuerda que cuenta con una amplia red de recaudo para facilitar el pago de las facturas. A través de sus puntos de pago propios, aliados comerciales, la oficina virtual (www.afinia.com.co) y la aplicación Afiniapp, los clientes pueden cancelar sus facturas de manera fácil, ágil y segura. Regularizar el servicio con las facilidades que Afinia ofrece nos permitirá contar con un servicio seguro, confiable y en beneficio del progreso del Caribe.",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Deudas, Energía"
"Afinia realizará una jornada comercial con grandes soluciones de financiación para sus clientes en Mompox • Se aplicará hasta un 50% de descuento de la energía dejada de facturar a quienes realicen el pago de contado. • Todos los usuarios podrán realizar acuerdos de pago con solo presentar su cédula, sin importar que sean propietarios o inquilinos de los inmuebles. Cartagena de Indias, 8 de abril de 2025 | Afinia, filial del Grupo EPM, comprometida con el bienestar de sus clientes, ha programado para este sábado una jornada de atención en la oficina comercial de Mompox. Durante esta actividad, los clientes podrán realizar convenios de pago y saldar su deuda con opciones de financiación accesibles. La jornada se desarrollará de 8:30 a.m. a 3:00 p.m., con la presencia de personal comercial dispuesto a brindar alternativas de pago a clientes residenciales de todos los estratos socioeconómicos. Como incentivo, se aplicará hasta un 50% de descuento en la energía dejada de facturar a quienes realicen el pago de contado. Además, los usuarios podrán acceder a convenios de pago presentando únicamente su cédula, sin importar si son propietarios o inquilinos del inmueble. ¡Aprovecha esta oportunidad y ponte al día con tu servicio de energía! Afinia recuerda a sus clientes que dispone de una amplia red de recaudo para facilitar el pago de las facturas. A través de sus puntos de pago propios, aliados comerciales, la oficina virtual (www.afinia.com.co) y la aplicación Afiniapp, los clientes pueden realizar sus pagos de manera fácil, rápida y segura. Asimismo, la compañía ofrece diversas soluciones de financiación accesibles para todos, sin necesidad de salir de casa. Estas alternativas se ajustan a las condiciones y necesidades de clientes residenciales, comerciales, industriales y de áreas especiales. Regularizar el servicio con las facilidades que Afinia ofrece permite garantizar un suministro seguro, confiable y en beneficio del progreso del Caribe.",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Servicio"
"Afinia reforzará redes eléctricas en Magangué y municipios de Bolívar del 28 de abril al 3 de mayo Como parte de su plan de inversión y mejoramiento del servicio, Afinia, filial del Grupo EPM, anunció una serie de trabajos técnicos que se llevarán a cabo en Magangué y diversos municipios de Bolívar y el sur del Magdalena entre el 28 de abril y el 3 de mayo de 2025. Las labores incluyen mantenimiento, cambio de postes, poda de árboles, modernización de equipos y tendido de líneas, acciones que buscan brindar un servicio más confiable y estable para todos los usuarios. A continuación, el detalle de los días, lugares, horarios y trabajos programados: ⸻ Lunes 28 de abril • San Jacinto (Bolívar) • Barrio Santa Ana (calle 25 con carrera 39) • Horario: 8:00 a.m. a 4:00 p.m. • Trabajos: Mantenimiento de transformador, instalación y aplome de apoyos. ⸻ Martes 29 de abril • Magangué • Barrio Pastrana (calle 28 con carrera 29) • Horario: 7:30 a.m. a 5:00 p.m. • Trabajos: Cambio de armados, poda, tendido de línea e hincado de apoyo. • El Carmen de Bolívar • Barrio La Colonia (Carrera 47 con Calle 36B) • Horario: 8:00 a.m. a 4:00 p.m. • Trabajos: Mantenimiento de transformador, instalación y aplome de apoyos. • Arjona • Circuito Gambote 1 – corregimientos y veredas como Rocha, Mapurito, Pueblo Rocha, El Juncal, etc. • Horario: 7:00 a.m. a 4:00 p.m. • Trabajos: Poda, mantenimiento y corrección de puntos calientes. • Mahates • Circuito Gambote 4 – corregimiento de San Basilio de Palenque y vía El Viso – San Pablo. • Horario: 7:00 a.m. a 3:00 p.m. • Trabajos: Poda, cambio de apoyos y crucetas, adecuaciones de media tensión. ⸻ Miércoles 30 de abril • Magangué, Cicuco y Mompox • Circuito Santa Isabel y Mompox 4 – zonas urbanas y corregimientos como Yatí, Puerto Kennedy, Tacaloa, San Ignacio, etc. • Horario: 6:20 a.m. a 5:00 p.m. • Trabajos: Cambio de apoyos y armados en mal estado. • Municipio de Mompox • Circuito Santa Ana – corregimientos de Candelaria, Caldera y Los Piñones. • Horario: 8:30 a.m. a 4:30 p.m. • Trabajos: Cambio de armado, poda y aislamiento de media tensión. • San Juan de Nepomuceno • Barrio Armero (carrera 3A con calle 10B) • Horario: 8:00 a.m. a 4:00 p.m. • Trabajos: Mantenimiento de transformador e instalación de apoyos. ⸻ Jueves 1 de mayo • Magangué • Barrio El Carmen (calle 15 con carrera 6A) • Horario: 8:40 a.m. a 5:00 p.m. • Trabajos: Cambio de bloque de prueba. • Mahates • Corregimiento de Malagana (carrera 9 con calle 10A) • Horario: 8:00 a.m. a 4:00 p.m. • Trabajos: Mantenimiento de transformador, cambio y aplome de apoyos. ⸻ Viernes 2 de mayo • Talaigua Nuevo • Corregimiento de Caño Hondo • Horario: 8:00 a.m. a 4:00 p.m. • Trabajos: Cambio de postes, poda de vegetación y balanceo de redes. • Mompox • Barrio La Magdalena (carrera 2 con calle 25) • Horario: 7:30 a.m. a 5:00 p.m. • Trabajos: Normalización de medida, cambio de transformador de corriente (TC). ⸻ Sábado 3 de mayo • Arenal del Sur, Norosí y Río Viejo (Bolívar) • Zonas urbanas y rurales como La Golosa, Villa Elisa, El Clavo, Requendama, entre otros • Horario: 7:00 a.m. a 3:00 p.m. • Trabajos: Cambio de armados, poda técnica y aislamiento de media tensión. ⸻ Afinia recuerda a sus usuarios que pueden reportar novedades a través de la línea 115, la aplicación Afiniapp, y consultar el cronograma de interrupciones en la sección de trabajos programados de la web www.afinia.com.co o por WhatsApp Afinia trabajos programados Bolívar. Estas labores son fundamentales para ofrecer un servicio más seguro, moderno y eficiente en Magangué y todo el departamento.",Facebook,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Interrupciones"
